ID,Close
id_713,90.49195428377504
id_714,91.07279109954763
id_715,91.11683809954762
id_716,91.11683809954762
id_717,91.07989743288095
id_718,91.1314821537989
id_719,91.14009093940496
id_720,91.12669830390712
id_721,91.06486244438332
id_722,90.92055931343094
id_723,90.81220240412061
id_724,90.40981987335157
id_725,90.27207589874837
id_726,90.12843408056655
id_727,89.83481296105273
id_728,89.59223964438608
id_729,89.52034957741415
id_730,89.51523104169986
id_731,89.51523104169986
id_732,89.51523104169986
id_733,92.33648108629703
id_734,92.4186390720113
id_735,92.38235203629702
id_736,92.60757993022254
id_737,92.82606077625432
id_738,93.30278844468864
id_739,93.39777370756742
id_740,93.45494736416653
id_741,93.48006021589813
id_742,93.5692124322207
id_743,94.15081597514582
id_744,94.16962191879661
id_745,94.15351002197121
id_746,94.14488462803182
id_747,93.9743935391429
id_748,93.74628143390784
id_749,93.59571824640783
id_750,93.57587258724477
id_751,93.45448059770654
id_752,93.4945025802462
id_753,93.4945025802462
id_1467,40.58125472965592
id_1468,40.376920321560576
id_1469,40.37303979342205
id_1470,40.37059146008872
id_1471,40.35446758194464
id_1472,40.468794300819184
id_1473,40.45912881671162
id_1474,40.45941941653957
id_1475,40.463370973610274
id_1476,40.454572456752025
id_1477,40.51872191286676
id_1478,40.38409351620369
id_1479,40.36806757096559
id_1480,40.35246852219215
id_1481,40.34593234751682
id_1482,40.3379879494739
id_1483,40.340795772201176
id_1484,40.340795772201176
id_1485,40.340795772201176
id_1486,40.34174462220117
id_1487,41.90168521716749
id_1488,41.899643425103996
id_1489,41.899643425103996
id_1490,41.89910734177066
id_1491,41.89602640843733
id_1492,41.87740480620067
id_1493,41.84024413397846
id_1494,41.819348378819726
id_1495,41.81700519447629
id_1496,41.7976283758255
id_1497,41.89945803729351
id_1498,41.906732592849075
id_1499,41.91107173173796
id_1500,41.91230017113191
id_1501,41.90155011052585
id_1502,41.899414918173754
id_1503,41.90598391817375
id_1504,41.89803008087216
id_1505,41.90810366817375
id_1506,41.90810366817375
id_1507,41.90810366817375
id_2221,137.60135416823132
id_2222,137.54705286011622
id_2223,137.52747252891962
id_2224,137.50399277386907
id_2225,137.4990432268994
id_2226,137.48663525298167
id_2227,137.48854864800057
id_2228,137.45047419306104
id_2229,137.46344026131501
id_2230,137.46106788433087
id_2231,137.4765109524048
id_2232,137.4688361372891
id_2233,137.4688361372891
id_2234,137.47536360005964
id_2235,137.4758261729673
id_2236,137.456143887253
id_2237,137.47178882058634
id_2238,137.47215884836413
id_2239,137.47824833725304
id_2240,137.48495905630062
